files,mb,url,age,title,magnet,varified,seed,torrent,leech,size
1,MB,/earn-to-die-2-2016-repack-masterdarkness-t12566404.html,"09 May 2016, 04:58",Earn to Die 2 (2016) RePack - MasterDarkness,magnet:?xt=urn:btih:6CC55DD041BB034CCEA6E923D3E929E67CBD6A14&dn=earn+to+die+2+2016+repack+masterdarkness&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,204,/torrents.php?key=earn.to.die.2.2016.repack.masterdarkness,2,168.62 
21,GB,/lego-star-wars-the-force-awakens-2-dlc-multi10-fitgirl-repack-selective-download-from-6-3-gb-t12874097.html,"02 Jul 2016, 23:53","LEGO Star Wars: The Force Awakens (+ 2 DLC, MULTI10) [FitGirl Repack, Selective Download - from 6.3 GB]",magnet:?xt=urn:btih:CF74BFFA14A7E52799EB408002A9C8A7637743C1&dn=lego+star+wars+the+force+awakens+2+dlc+multi10+fitgirl+repack+selective+download+from+6+3+gb&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,165,/torrents.php?key=lego.star.wars.the.force.awakens.2.dlc.multi10.fitgirl.repack.selective.download.from.6.3.gb,79,8.28 
1,MB,/the-binding-of-isaac-rebirth-eng-2014-pc-t9803814.html,"04 Nov 2014, 20:45",The Binding of Isaac: Rebirth [ENG] (2014) PC,magnet:?xt=urn:btih:92A0C27A19C14A460C35BBE3397198AFD8C07B05&dn=the+binding+of+isaac+rebirth+eng+2014+pc&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,237,/torrents.php?key=the.binding.of.isaac.rebirth.eng.2014.pc,1,308.45 
1,MB,/craft-the-world-v-1-2-005-2013-pc-repack-t11922572.html,"18 Jan 2016, 02:08",Craft The World [v 1.2.005] (2013) PC | RePack,magnet:?xt=urn:btih:1A8B42FA92D5258ABFF27AEBC339EC80C9EB353A&dn=craft+the+world+v+1+2+005+2013+pc+repack&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,234,/torrents.php?key=craft.the.world.v.1.2.005.2013.pc.repack,5,179.89 
3,GB,/trackmania-turbo-codex-t12311900.html,"24 Mar 2016, 20:00",Trackmania.Turbo-CODEX,magnet:?xt=urn:btih:F4C28B59B3B49C08E6EF808866845BC65C06D239&dn=trackmania+turbo+codex&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,226,/torrents.php?key=trackmania.turbo.codex,21,3.4 
1,MB,/terraria-v1-3-1-1-t12697258.html,"01 Jun 2016, 07:18",Terraria v1.3.1.1,magnet:?xt=urn:btih:F7BB800E138901049B0A9F99384BBACA5F7D163C&dn=terraria+v1+3+1+1&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,234,/torrents.php?key=terraria.v1.3.1.1,2,83 
1,GB,/ark-survival-evolved-v236-2-x64-crack-lumaemu-kortal-t12172824.html,"01 Mar 2016, 16:02",ARK Survival Evolved v236.2 x64 crack LumaEmu #Kortal,magnet:?xt=urn:btih:12FBA679DDDC3A2D2AC7D9A65BE4ED8A406BD153&dn=ark+survival+evolved+v236+2+x64+crack+lumaemu+kortal&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,367,/torrents.php?key=ark.survival.evolved.v236.2.x64.crack.lumaemu.kortal,64,9.62 
4,GB,/ark-survival-evolved-v-244-4-2015-repack-pioneer-t12910903.html,"09 Jul 2016, 12:36",ARK: Survival Evolved [v 244.4] (2015) Repack - Pioneer,magnet:?xt=urn:btih:A584BA8E742C8A05A931CE0E4ECD43788D6CFA80&dn=ark+survival+evolved+v+244+4+2015+repack+pioneer&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,351,/torrents.php?key=ark.survival.evolved.v.244.4.2015.repack.pioneer,96,10.57 
2,GB,/farming-simulator-15-codex-t9781647.html,"30 Oct 2014, 17:52",Farming.Simulator.15-CODEX,magnet:?xt=urn:btih:A11476E55B1B47471443F223EA8396A624DE4A29&dn=farming+simulator+15+codex&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,390,/torrents.php?key=farming.simulator.15.codex,17,2.74 
1,GB,/7-days-to-die-alpha-14-7-x64-early-access-t12808688.html,"21 Jun 2016, 04:34",7 Days To Die Alpha 14.7 x64 [Early Access],magnet:?xt=urn:btih:A3877349115C6C87D015A5DCC6F52FC8165F3BB9&dn=7+days+to+die+alpha+14+7+x64+early+access&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,253,/torrents.php?key=7.days.to.die.alpha.14.7.x64.early.access,17,1.2 
12,GB,/dead-by-daylight-v1-0-2-working-multiplayer-fitgirl-repack-t12886485.html,"05 Jul 2016, 06:49",Dead by Daylight (v1.0.2 + Working Multiplayer) [FitGirl Repack],magnet:?xt=urn:btih:71B74A825B60C2E9C9A2CD13EB8FF7AA1193F49B&dn=dead+by+daylight+v1+0+2+working+multiplayer+fitgirl+repack&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,246,/torrents.php?key=dead.by.daylight.v1.0.2.working.multiplayer.fitgirl.repack,31,2.46 
